date,city,temperature,humidity,wind_speed,description
2025-08-03,gurugram,26.31,70,3.05,overcast clouds
2025-08-03,ahmedabad,27.25,59,5.87,overcast clouds
2025-07-30,delhi,33.07,58,5.47,overcast clouds
2025-07-30,mumbai,27.88,83,9.62,overcast clouds
2025-07-30,bangalore,27.85,68,8.91,broken clouds
2025-07-30,kolkata,29.24,75,3.61,overcast clouds
2025-07-30,chennai,36.31,57,5.64,overcast clouds
2025-08-04,delhi,30.61,74,2.82,overcast clouds
2025-08-04,mumbai,27.66,80,2.99,overcast clouds
2025-08-04,bangalore,24.08,92,4.89,overcast clouds
2025-08-04,kolkata,28.74,80,2.99,overcast clouds
2025-08-04,chennai,29.05,78,4.11,overcast clouds
2025-08-04,ahmedabad,29.4,65,1.52,overcast clouds
2025-08-04,gurugram,28.69,78,3.42,overcast clouds
2025-07-31,delhi,30.51,78,2.28,overcast clouds
2025-07-31,mumbai,27.25,81,2.66,few clouds
2025-07-31,bangalore,25.61,91,2.18,overcast clouds
2025-07-31,kolkata,28.19,80,3.3,overcast clouds
2025-07-31,chennai,27.3,93,2.64,overcast clouds
2025-07-31,ahmedabad,29.4,64,2.67,overcast clouds
2025-07-31,gurugram,29.38,81,2.53,overcast clouds
2025-08-01,delhi,30.51,78,2.28,overcast clouds
2025-08-01,mumbai,27.25,81,2.66,few clouds
2025-08-01,bangalore,25.61,91,2.18,overcast clouds
2025-08-01,kolkata,28.19,80,3.3,overcast clouds
2025-08-01,chennai,27.3,93,2.64,overcast clouds
2025-08-01,ahmedabad,29.4,64,2.67,overcast clouds
2025-08-01,gurugram,29.38,81,2.53,overcast clouds
2025-08-02,delhi,30.51,78,2.28,overcast clouds
2025-08-02,mumbai,27.25,81,2.66,few clouds
2025-08-02,bangalore,25.61,91,2.18,overcast clouds
2025-08-02,kolkata,28.19,80,3.3,overcast clouds
2025-08-02,chennai,27.3,93,2.64,overcast clouds
2025-08-02,ahmedabad,29.4,64,2.67,overcast clouds
2025-08-02,gurugram,29.38,81,2.53,overcast clouds
2025-08-03,delhi,30.51,78,2.28,overcast clouds
2025-08-03,mumbai,27.25,81,2.66,few clouds
2025-08-03,bangalore,25.61,91,2.18,overcast clouds
2025-08-03,kolkata,28.19,80,3.3,overcast clouds
2025-08-03,chennai,27.3,93,2.64,overcast clouds
2025-08-05,delhi,30.51,78,2.28,overcast clouds
2025-08-05,mumbai,27.25,81,2.66,few clouds
2025-08-05,bangalore,25.61,91,2.18,overcast clouds
2025-08-05,kolkata,28.19,80,3.3,overcast clouds
2025-08-05,chennai,27.3,93,2.64,overcast clouds
2025-08-05,ahmedabad,29.4,64,2.67,overcast clouds
2025-08-05,gurugram,29.38,81,2.53,overcast clouds
